type, size, range, name, total_value, total_weight, running_time, isOptimalSolution
09SpannerStronglyCorrelated, n05000, R01000, s017.kp, 2416691, 809791, 29.433974981307983, False
09SpannerStronglyCorrelated, n05000, R10000, s089.kp, 23523380, 4325380, 29.68748116493225, False
09SpannerStronglyCorrelated, n05000, R10000, s017.kp, 24194428, 8145428, 29.709176540374756, False
09SpannerStronglyCorrelated, n00100, R01000, s089.kp, 48863, 9163, 29.88826322555542, False
09SpannerStronglyCorrelated, n00100, R01000, s017.kp, 49982, 16582, 29.04693341255188, False
09SpannerStronglyCorrelated, n00100, R10000, s089.kp, 489077, 92077, 29.024242877960205, False
09SpannerStronglyCorrelated, n00100, R10000, s017.kp, 499907, 166907, 29.10140109062195, False
09SpannerStronglyCorrelated, n02000, R01000, s089.kp, 953714, 173914, 28.417945623397827, True
09SpannerStronglyCorrelated, n02000, R01000, s017.kp, 964222, 323022, 29.450583696365356, False
09SpannerStronglyCorrelated, n02000, R10000, s089.kp, 9533848, 1749848, 29.327077865600586, False
09SpannerStronglyCorrelated, n02000, R10000, s017.kp, 9653171, 3249171, 29.422600269317627, False
09SpannerStronglyCorrelated, n00050, R01000, s089.kp, 25767, 4467, 3.1930458545684814, True
09SpannerStronglyCorrelated, n00050, R01000, s017.kp, 25095, 8395, 0.4941689968109131, True
09SpannerStronglyCorrelated, n00050, R10000, s089.kp, 258185, 45185, 2.83050799369812, True
09SpannerStronglyCorrelated, n00050, R10000, s017.kp, 251338, 84338, 0.1868901252746582, True
09SpannerStronglyCorrelated, n01000, R01000, s089.kp, 471522, 86922, 29.99165391921997, False
09SpannerStronglyCorrelated, n01000, R01000, s017.kp, 485061, 161561, 28.770276069641113, True
09SpannerStronglyCorrelated, n01000, R10000, s089.kp, 4714474, 874474, 29.218307495117188, False
09SpannerStronglyCorrelated, n01000, R10000, s017.kp, 4856511, 1625511, 29.00384211540222, False
10MultipleStronglyCorrelated, n00200, R01000, s089.kp, 80824, 49524, 14.531834840774536, True
10MultipleStronglyCorrelated, n00200, R01000, s017.kp, 80724, 51024, 0.002827167510986328, True
10MultipleStronglyCorrelated, n00200, R10000, s089.kp, 809812, 494812, 0.0006899833679199219, True
10MultipleStronglyCorrelated, n00200, R10000, s017.kp, 814850, 509850, 4.680380344390869, True
10MultipleStronglyCorrelated, n10000, R01000, s089.kp, 4024143, 2474943, 29.69943857192993, False
10MultipleStronglyCorrelated, n10000, R01000, s017.kp, 4014282, 2469782, 29.377474308013916, False
10MultipleStronglyCorrelated, n10000, R10000, s089.kp, 40277958, 24728958, 29.573062896728516, False
10MultipleStronglyCorrelated, n10000, R10000, s017.kp, 40118966, 24677966, 29.423237085342407, False
10MultipleStronglyCorrelated, n00500, R01000, s089.kp, 202430, 125430, 29.527636528015137, False
10MultipleStronglyCorrelated, n00500, R01000, s017.kp, 198378, 120678, 29.3328754901886, False
10MultipleStronglyCorrelated, n00500, R10000, s089.kp, 2035202, 1253202, 29.3626492023468, False
10MultipleStronglyCorrelated, n00500, R10000, s017.kp, 1984712, 1205712, 29.60041308403015, False
10MultipleStronglyCorrelated, n05000, R01000, s089.kp, 2009144, 1237044, 29.65889072418213, False
10MultipleStronglyCorrelated, n05000, R01000, s017.kp, 2013468, 1243268, 28.638681650161743, True
10MultipleStronglyCorrelated, n05000, R10000, s089.kp, 20117499, 12358499, 29.540920972824097, False
10MultipleStronglyCorrelated, n05000, R10000, s017.kp, 20137196, 12422196, 29.68736982345581, False
10MultipleStronglyCorrelated, n00100, R01000, s089.kp, 40684, 24984, 0.00019550323486328125, True
10MultipleStronglyCorrelated, n00100, R01000, s017.kp, 41510, 26610, 0.015638113021850586, True
10MultipleStronglyCorrelated, n00100, R10000, s089.kp, 406648, 249648, 0.0967566967010498, True
10MultipleStronglyCorrelated, n00100, R10000, s017.kp, 417779, 265779, 1.3113021850585938e-05, True
10MultipleStronglyCorrelated, n02000, R01000, s089.kp, 802028, 492928, 29.98974633216858, False
10MultipleStronglyCorrelated, n02000, R01000, s017.kp, 807924, 497424, 29.36807870864868, False
10MultipleStronglyCorrelated, n02000, R10000, s089.kp, 8039232, 4925232, 29.202033519744873, False
10MultipleStronglyCorrelated, n02000, R10000, s017.kp, 8074770, 4969770, 16.477521419525146, True
10MultipleStronglyCorrelated, n00050, R01000, s089.kp, 20806, 13206, 0.13818955421447754, True
10MultipleStronglyCorrelated, n00050, R01000, s017.kp, 21469, 14069, 0.006944179534912109, True
10MultipleStronglyCorrelated, n00050, R10000, s089.kp, 210954, 131954, 0.000896453857421875, True
10MultipleStronglyCorrelated, n00050, R10000, s017.kp, 215595, 140595, 0.0015993118286132812, True
10MultipleStronglyCorrelated, n01000, R01000, s089.kp, 400944, 247944, 29.997047662734985, False
10MultipleStronglyCorrelated, n01000, R01000, s017.kp, 400936, 245136, 29.141685247421265, False
10MultipleStronglyCorrelated, n01000, R10000, s089.kp, 4032334, 2477334, 28.927379846572876, True
10MultipleStronglyCorrelated, n01000, R10000, s017.kp, 4012170, 2449170, 29.6023268699646, False
07SpannerUncorrelated, n00200, R01000, s089.kp, 33792, 27810, 29.543413639068604, False
07SpannerUncorrelated, n00200, R01000, s017.kp, 46272, 32289, 27.862759113311768, True
07SpannerUncorrelated, n00200, R10000, s089.kp, 339052, 281998, 27.928950309753418, True
07SpannerUncorrelated, n00200, R10000, s017.kp, 464613, 324159, 27.936198472976685, True
07SpannerUncorrelated, n10000, R01000, s089.kp, 1609535, 1364184, 28.406582355499268, True
07SpannerUncorrelated, n10000, R01000, s017.kp, 2414869, 1545128, 29.535890579223633, False
07SpannerUncorrelated, n10000, R10000, s089.kp, 16150645, 13831381, 29.589487552642822, False
07SpannerUncorrelated, n10000, R10000, s017.kp, 24252931, 15533003, 29.51906704902649, False
07SpannerUncorrelated, n00500, R01000, s089.kp, 82765, 64506, 29.720550298690796, False
07SpannerUncorrelated, n00500, R01000, s017.kp, 116180, 77774, 28.237115144729614, True
07SpannerUncorrelated, n00500, R10000, s089.kp, 830298, 654266, 28.417455673217773, True
07SpannerUncorrelated, n00500, R10000, s017.kp, 1166698, 781322, 28.007017135620117, True
07SpannerUncorrelated, n05000, R01000, s089.kp, 815474, 666468, 27.64748787879944, True
07SpannerUncorrelated, n05000, R01000, s017.kp, 1209401, 773967, 29.355186700820923, False
07SpannerUncorrelated, n05000, R10000, s089.kp, 8181999, 6759573, 29.577271699905396, False
07SpannerUncorrelated, n05000, R10000, s017.kp, 12146232, 7780623, 29.52652359008789, False
07SpannerUncorrelated, n00100, R01000, s089.kp, 17785, 13170, 29.783650159835815, False
07SpannerUncorrelated, n00100, R01000, s017.kp, 24400, 16138, 29.00105047225952, False
07SpannerUncorrelated, n00100, R10000, s089.kp, 178402, 133698, 28.8705472946167, True
07SpannerUncorrelated, n00100, R10000, s017.kp, 245222, 162496, 28.51417112350464, True
07SpannerUncorrelated, n02000, R01000, s089.kp, 330053, 270102, 27.332438468933105, True
07SpannerUncorrelated, n02000, R01000, s017.kp, 482617, 308758, 29.311827182769775, False
07SpannerUncorrelated, n02000, R10000, s089.kp, 3311576, 2739472, 28.64956498146057, True
07SpannerUncorrelated, n02000, R10000, s017.kp, 4847189, 3104257, 29.13602352142334, False
07SpannerUncorrelated, n00050, R01000, s089.kp, 8608, 7098, 0.8940677642822266, True
07SpannerUncorrelated, n00050, R01000, s017.kp, 12283, 7677, 0.07770967483520508, True
07SpannerUncorrelated, n00050, R10000, s089.kp, 86406, 72436, 0.5103821754455566, True
07SpannerUncorrelated, n00050, R10000, s017.kp, 123432, 77325, 0.09093737602233887, True
07SpannerUncorrelated, n01000, R01000, s089.kp, 165404, 132258, 29.99467658996582, False
07SpannerUncorrelated, n01000, R01000, s017.kp, 239753, 157338, 28.528014659881592, True
07SpannerUncorrelated, n01000, R10000, s089.kp, 1659440, 1341202, 29.054837942123413, False
07SpannerUncorrelated, n01000, R10000, s017.kp, 2407605, 1580835, 28.17414879798889, True
03InverseStronglyCorrelated, n00200, R01000, s089.kp, 53128, 59428, 28.652838230133057, True
03InverseStronglyCorrelated, n00200, R01000, s017.kp, 54434, 60834, 28.818074703216553, True
03InverseStronglyCorrelated, n00200, R10000, s089.kp, 530824, 593824, 29.199134826660156, False
03InverseStronglyCorrelated, n00200, R10000, s017.kp, 544057, 608057, 29.64243173599243, False
03InverseStronglyCorrelated, n10000, R01000, s089.kp, 2656043, 2969943, 29.49724006652832, False
03InverseStronglyCorrelated, n10000, R01000, s017.kp, 2649240, 2964940, 29.692819356918335, False
03InverseStronglyCorrelated, n10000, R10000, s089.kp, 26539875, 29677875, 29.821594953536987, False
03InverseStronglyCorrelated, n10000, R10000, s017.kp, 26471269, 29627269, 29.81500768661499, False
03InverseStronglyCorrelated, n00500, R01000, s089.kp, 134382, 150182, 29.92461919784546, False
03InverseStronglyCorrelated, n00500, R01000, s017.kp, 129933, 145433, 28.688997268676758, True
03InverseStronglyCorrelated, n00500, R10000, s089.kp, 1342730, 1500730, 28.821845293045044, True
03InverseStronglyCorrelated, n00500, R10000, s017.kp, 1296298, 1450298, 29.50402021408081, False
03InverseStronglyCorrelated, n05000, R01000, s089.kp, 1326919, 1484019, 29.514999389648438, False
03InverseStronglyCorrelated, n05000, R01000, s017.kp, 1331815, 1490715, 29.73508620262146, False
03InverseStronglyCorrelated, n05000, R10000, s089.kp, 13262425, 14833425, 29.808900117874146, False
03InverseStronglyCorrelated, n05000, R10000, s017.kp, 13304171, 14892171, 29.818177223205566, False
03InverseStronglyCorrelated, n00100, R01000, s089.kp, 26838, 29938, 28.553499937057495, True
03InverseStronglyCorrelated, n00100, R01000, s017.kp, 28288, 31488, 29.650871753692627, False
03InverseStronglyCorrelated, n00100, R10000, s089.kp, 268157, 299157, 29.716020107269287, False
03InverseStronglyCorrelated, n00100, R10000, s017.kp, 282735, 314735, 29.867133140563965, False
03InverseStronglyCorrelated, n02000, R01000, s089.kp, 529291, 591891, 29.714070320129395, False
03InverseStronglyCorrelated, n02000, R01000, s017.kp, 532964, 595864, 29.625566482543945, False
03InverseStronglyCorrelated, n02000, R10000, s089.kp, 5289336, 5915336, 29.278690576553345, False
03InverseStronglyCorrelated, n02000, R10000, s017.kp, 5326865, 5955865, 28.930878400802612, True
03InverseStronglyCorrelated, n00050, R01000, s089.kp, 14083, 15683, 0.17969298362731934, True
03InverseStronglyCorrelated, n00050, R01000, s017.kp, 14846, 16546, 0.10106849670410156, True
03InverseStronglyCorrelated, n00050, R10000, s089.kp, 140722, 156722, 0.004457950592041016, True
03InverseStronglyCorrelated, n00050, R10000, s017.kp, 148354, 165354, 0.14201712608337402, True
03InverseStronglyCorrelated, n01000, R01000, s089.kp, 265691, 296991, 29.995213508605957, False
03InverseStronglyCorrelated, n01000, R01000, s017.kp, 263206, 294306, 29.240630865097046, False
03InverseStronglyCorrelated, n01000, R10000, s089.kp, 2655657, 2968657, 29.328022718429565, False
03InverseStronglyCorrelated, n01000, R10000, s017.kp, 2630733, 2941733, 29.513871908187866, False
type, size, range, name, total_value, total_weight, running_time, isOptimalSolution
type, size, range, name, total_value, total_weight, running_time, isOptimalSolution
01WeaklyCorrelated, n00200, R01000, s089.kp, 55142, 49526, 0.0001404285430908203, True
01WeaklyCorrelated, n00200, R01000, s017.kp, 55955, 51029, 0.0001392364501953125, True
01WeaklyCorrelated, n00200, R10000, s089.kp, 550637, 494786, 8.988380432128906e-05, True
01WeaklyCorrelated, n00200, R10000, s017.kp, 558867, 509848, 0.00036454200744628906, True
01WeaklyCorrelated, n10000, R01000, s089.kp, 2734746, 2475179, 0.001135110855102539, True
01WeaklyCorrelated, n10000, R01000, s017.kp, 2729334, 2470057, 0.11250877380371094, True
01WeaklyCorrelated, n10000, R10000, s089.kp, 27313400, 24729920, 0.01781010627746582, True
01WeaklyCorrelated, n10000, R10000, s017.kp, 27258625, 24678020, 0.024412870407104492, True
01WeaklyCorrelated, n00500, R01000, s089.kp, 138126, 125430, 9.679794311523438e-05, True
01WeaklyCorrelated, n00500, R01000, s017.kp, 133962, 120681, 0.0006206035614013672, True
01WeaklyCorrelated, n00500, R10000, s089.kp, 1379598, 1253205, 0.0001323223114013672, True
